type,id,nr,name,city
"station","8000022","311","Bad Nenndorf","Bad Nenndorf"
"station","8000718","297","Bad Krozingen","Bad Krozingen"
"station","8000727","308","Bad Münstereifel","Bad Münstereifel"
"station","8000712","284","Bad Homburg","Bad Homburg"
"station","8000729","312","Bad Neuenahr","Bad Neuenahr"
"station","8000731","314","Bad Niedernau","Rottenburg "
"station","8000733","316","Bad Oeynhausen Süd","Bad Oeynhausen"
"station","8000726","307","Bad Münster am Stein","Bad Münster am Stein"
"station","8000734","318","Bad Peterstal","Bad Peterstal"
"station","8000728","310","Bad Nauheim","Bad Nauheim"
"station","8000730","313","Bad Neustadt (Saale)","Bad Neustadt (Saale)"
"station","8000736","320","Bad Rappenau","Bad Rappenau"
"station","8011079","324","Bad Saarow","Bad Saarow-Pieskow"
"station","8000738","322","Bad Reichenhall-Kirchberg","Bad Reichenhall"
"station","8000737","321","Bad Reichenhall","Bad Reichenhall"
"station","8000739","326","Bad Sachsa","Bad Sachsa"
"station","8000735","319","Bad Pyrmont","Bad Pyrmont"
"station","8000732","315","Bad Oeynhausen","Bad Oeynhausen"
"station","8000740","328","Bad Salzdetfurth","Bad Salzdetfurth"
"station","8000023","317","Bad Oldesloe","Bad Oldesloe"
"station","8000741","329","Bad Salzhausen","Nidda"
"station","8000743","331","Bad Salzschlirf","Bad Salzschlirf"
"station","8000742","330","Boppard-Bad Salzig","Boppard"
"station","8005255","327","Bad Säckingen","Bad Säckingen"
"station","8010022","335","Bad Schandau","Bad Schandau"
"station","8010021","333","Bad Salzungen","Bad Salzungen"
"station","8003533","340","Bad Schönborn Süd","Bad Schönborn"
"station","8000746","342","Bad Schussenried","Bad Schussenried"
"station","8004032","341","Bad Schönborn Kronau","Bad Schönborn"
"station","8000750","344","Bad Sebastiansweiler-Belsen","Mössingen"
"station","8000745","334","Bad Sassendorf","Bad Sassendorf"
"station","8005261","347","Bad Soden-Salmünster","Bad Soden-Salmünster"
"station","8000754","349","Bad St Peter Süd","Sankt Peter-Ording"
"station","8000753","348","Bad Sooden-Allendorf","Bad Soden-Allendorf"
"station","8000755","350","Bad St Peter-Ording","Sankt Peter-Ording"
"station","8000752","346","Bad Soden (Taunus)","Bad Soden (Taunus)"
"station","8000744","332","Bad Salzuflen","Bad Salzuflen"
"station","8000749","343","Bad Schwartau","Bad Schwartau"
"station","8000756","351","Bad Steben","Bad Steben"
"station","8000751","345","Bad Segeberg","Bad Segeberg"
"station","8011085","353","Bad Sulza","Bad Sulza"
"station","8000757","355","Bad Teinach-Neubulach","Calw"
"station","8000021","296","Bad Kreuznach","Bad Kreuznach"
"station","8011088","363","Bad Wilsnack","Bad Wilsnack"
"station","8000763","360","Bad Waldsee","Bad Waldsee"
"station","8000758","357","Bad Tölz","Bad Tölz"
"station","8000766","365","Bad Wimpfen-Hohenstadt","Bad Wimpfen"
"station","8000767","366","Bad Windsheim","Bad Windsheim"
"station","8000013","220","Augsburg Hbf","Augsburg"
"station","8000768","367","Bad Wörishofen","Bad Wörishofen"
"station","8000765","364","Bad Wimpfen","Bad Wimpfen"
"station","8000773","370","Baden (Kr Verden)","Achim"
"station","8011097","373","Bagenz","Neuhausen/Spree"
"station","8011098","374","Bahnsdorf","Neu-Seeland"
"station","8000772","369","Baddeckenstedt","Baddeckenstedt"
"station","8000770","368","Bad Zwischenahn","Bad Zwischenahn"
"station","8000784","381","Balbersdorf","Waffenbrunn (Balbersdorf)"
"station","8011100","380","Baitz","Brück"
"station","8000781","377","Baierbrunn","Baierbrunn"
"station","8000761","359","Bad Vilbel Süd","Bad Vilbel"
"station","8000760","358","Bad Vilbel","Bad Vilbel"
"station","8000783","379","Baiersdorf","Baiersdorf"
"station","8011103","384","Balgstädt","Balgstädt"
"station","8000786","383","Balduinstein","Balduinstein"
"station","8011106","390","Ballstädt (Kr Gotha)","Ballstädt"
"station","8000793","392","Balve","Balve"
