,EVA_NR,DS100,IFOPT,db_name,traffic,operator_name,operator_nr,status,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,county,state,state_code,city,country,country_code,attribution,attribution_license,attribution_url
1327,8001911,EEKS,de:05113:9406,Essen-Kray S¸d,nur DPN,DB Station und Service AG,1708,,3.11614472482328,Essen-Kray S¸d Am Bocklerbaum 45307 Essen Germany,51.458235,7.074949696403701,,Essen-Kray S¸d,Am Bocklerbaum,45307,Stadtbezirk VII,Kray,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1328,8001912,EEKU,de:05113:9414,Essen-Kupferdreh,RV,DB Station und Service AG,1709,,1.733948916838937,Essen-Kupferdreh A 44 45257 Essen Germany,51.39049375,7.080492111671823,,Essen-Kupferdreh,A 44,45257,Stadtbezirk VIII,Kupferdreh,Essen,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1329,8001913,EESO,de:05113:9584,Essen-Steele Ost,RV,DB Station und Service AG,1711,,3.8363692172808963,Essen-Steele Ost Dahlhauser Straﬂe 45279 Essen Germany,51.4441148,7.08861969930256,,Essen-Steele Ost,Dahlhauser Straﬂe,45279,Stadtbezirk VII,Horst,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1330,8001914,EEUE,de:05113:9699,Essen-‹berruhr,RV,DB Station und Service AG,1712,,2.3216866051599023,Essen-‹berruhr Langenberger Straﬂe 45277 Essen Germany,51.4284152,7.06862557946388,,Essen-‹berruhr,Langenberger Straﬂe,45277,Stadtbezirk VIII,‹berruhr-Hinsel,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1331,8001915,EEWD,de:05113:9640,Essen-Werden,RV,DB Station und Service AG,1713,,2.626357260105024,Essen-Werden Ruhrtalstraﬂe 45239 Essen Germany,51.38627095,6.997807058671661,,Essen-Werden,Ruhrtalstraﬂe,45239,Stadtbezirk IX,Werden,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1332,8001917,KESJ,de:05334:2974,Eschweiler-St.Jˆris,RV,EVS EUREGIO-Verkehrsschienennetz GmbH,,,8.795878474124255,Eschweiler-St.Jˆris Neusener Straﬂe 52249 Eschweiler Germany,50.83504485,6.2018544500000035,,Eschweiler-St.Jˆris,Neusener Straﬂe,52249,,Sankt Jˆris,St‰dteregion Aachen,North Rhine-Westphalia,,Eschweiler,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1333,8001919,NEN,de:09678:75278,Eﬂleben,RV,DB Station und Service AG,1715,,2.8355974312155334,Bahnhofstraﬂe 97440 Eﬂleben Germany,49.9428082,10.085058088925205,,Eﬂleben,Bahnhofstraﬂe,97440,,,Landkreis Schweinfurt,Bavaria,,Eﬂleben,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1334,8001920,TE,de:08116:7800,Esslingen(Neckar),FV,DB Station und Service AG,1716,,58.82369091819462,DHL Paketshop 410 Bahnhofsplatz 1 73728 Esslingen am Neckar Germany,48.739073,9.300776,1,DHL Paketshop 410,Bahnhofsplatz,73728,Esslingen am Neckar,,Esslingen,Baden-W¸rttemberg,BW,Esslingen am Neckar,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1335,8001921,TEME,de:08116:1801,Esslingen-Mettingen,RV,DB Station und Service AG,1717,,9.006040589114017,Cannstatter Straﬂe 61 73733 Esslingen am Neckar Germany,48.7471967,9.276005099324763,61,,Cannstatter Straﬂe,73733,Esslingen am Neckar,Mettingen,Landkreis Esslingen,Baden-W¸rttemberg,BW,Esslingen am Neckar,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1336,8001922,MESH,de:09174:6830,Vierkirchen-Esterhofen,RV,DB Station und Service AG,1719,,0.8867535364029858,Vierkirchen-Esterhofen Bahnhofstraﬂe 85256 Pasenbach Germany,48.36141795,11.44519415791252,,Vierkirchen-Esterhofen,Bahnhofstraﬂe,85256,,,Landkreis Dachau,Bavaria,,Pasenbach,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
